Id,Name,PublishDate,MarketId,IndustryId
1587,吉茂,2018/04/16,上市,汽車工業
1589,永冠-KY,2012/04/27,上市,電機機械
1590,亞德客-KY,2010/12/13,上市,電機機械
1597,直得,2020/12/23,上市,電機機械
1598,岱宇,2016/09/20,上市,運動休閒
1603,華電,1968/06/03,上市,電器電纜
1604,聲寶,1970/12/14,上市,電器電纜
1605,華新,1972/11/03,上市,電器電纜
1608,華榮,1988/07/11,上市,電器電纜
1609,大亞,1988/12/12,上市,電器電纜
1611,中電,1990/01/16,上市,電器電纜
1612,宏泰,1993/05/08,上市,電器電纜
1614,三洋電,1997/09/18,上市,電器電纜
1615,大山,2000/03/30,上市,電器電纜
1616,億泰,2000/09/11,上市,電器電纜
1617,榮星,2000/09/11,上市,電器電纜
1618,合機,2000/09/11,上市,電器電纜
1623,大東電,2026/01/22,上市,電器電纜
1626,艾美特-KY,2013/03/21,上市,電器電纜
1702,南僑,1973/05/30,上市,食品工業
1707,葡萄王,1982/12/20,上市,生技醫療業
1708,東鹼,1986/06/16,上市,化學工業
1709,和益,1986/07/03,上市,化學工業
1710,東聯,1987/10/21,上市,化學工業
1711,永光,1988/12/27,上市,化學工業
1712,興農,1989/12/14,上市,化學工業
1713,國化,1990/01/31,上市,化學工業
1714,和桐,1991/08/30,上市,化學工業
1717,長興,1994/03/31,上市,化學工業
1718,中纖,1963/12/02,上市,化學工業
1720,生達,1995/12/12,上市,生技醫療業
1721,三晃,1996/05/16,上市,化學工業
1722,台肥,1998/03/24,上市,化學工業
1723,中碳,1998/11/27,上市,化學工業
1725,元禎,2000/09/11,上市,化學工業
1726,永記,2000/09/11,上市,化學工業
1727,中華化,2000/09/11,上市,化學工業
1730,花仙子,2001/09/17,上市,化學工業
1731,美吾華,2001/09/17,上市,生技醫療業
1732,毛寶,2001/09/17,上市,化學工業
1733,五鼎,2001/09/17,上市,生技醫療業
1734,杏輝,2002/08/26,上市,生技醫療業
1735,日勝化,2002/08/26,上市,化學工業
1736,喬山,2003/01/09,上市,運動休閒
1737,臺鹽,2003/11/18,上市,食品工業
1752,南光,2022/01/19,上市,生技醫療業
1760,寶齡富錦,2018/01/23,上市,生技醫療業
1762,中化生,2010/12/20,上市,生技醫療業
1773,勝一,2009/02/27,上市,化學工業
1776,展宇,2016/05/09,上市,化學工業
1783,和康生,2013/12/20,上市,生技醫療業
1786,科妍,2013/11/12,上市,生技醫療業
1789,神隆,2011/09/29,上市,生技醫療業
1795,美時,2019/12/16,上市,生技醫療業
1802,台玻,1973/07/20,上市,玻璃陶瓷
1805,寶徠,1989/10/20,上市,建材營造業
1806,冠軍,1992/09/29,上市,玻璃陶瓷
1808,潤隆,1994/10/26,上市,建材營造業
1809,中釉,1996/04/30,上市,玻璃陶瓷
1810,和成,1991/10/14,上市,玻璃陶瓷
1817,凱撒衛,2013/10/24,上市,玻璃陶瓷
1903,士紙,1963/12/09,上市,造紙工業
1904,正隆,1971/09/10,上市,造紙工業
1905,華紙,1975/02/07,上市,造紙工業
1906,寶隆,1976/04/26,上市,造紙工業
1907,永豐餘,1977/02/22,上市,造紙工業
1909,榮成,1985/11/19,上市,造紙工業
2002,中鋼,1974/12/26,上市,鋼鐵工業
2006,東和鋼鐵,1988/07/13,上市,鋼鐵工業
2007,燁興,1988/10/04,上市,鋼鐵工業
2008,高興昌,1988/12/28,上市,鋼鐵工業
2009,第一銅,1989/10/20,上市,鋼鐵工業
2010,春源,1989/12/22,上市,鋼鐵工業
2012,春雨,1991/10/17,上市,鋼鐵工業
2013,中鋼構,1992/01/21,上市,鋼鐵工業
2014,中鴻,1992/02/20,上市,鋼鐵工業
2015,豐興,1992/05/25,上市,鋼鐵工業
2017,官田鋼,1992/11/02,上市,鋼鐵工業
2020,美亞,1993/04/27,上市,鋼鐵工業
2022,聚亨,1995/03/27,上市,鋼鐵工業
2023,燁輝,1995/07/28,上市,鋼鐵工業
2024,志聯,1995/12/30,上市,鋼鐵工業
2025,千興,1996/02/08,上市,鋼鐵工業
2027,大成鋼,1996/10/24,上市,鋼鐵工業
2028,威致,1996/12/13,上市,鋼鐵工業
2029,盛餘,1997/01/11,上市,鋼鐵工業
2030,彰源,1998/12/24,上市,鋼鐵工業
2031,新光鋼,2000/09/11,上市,鋼鐵工業
2032,新鋼,2000/09/11,上市,鋼鐵工業
2033,佳大,2000/09/11,上市,鋼鐵工業
2034,允強,2001/09/17,上市,鋼鐵工業
2038,海光,2008/12/30,上市,鋼鐵工業
2049,上銀,2009/06/26,上市,電機機械
2059,川湖,2008/06/25,上市,電子零組件業
2062,橋椿,2007/11/16,上市,居家生活
2069,運錩,2016/03/22,上市,鋼鐵工業
2072,世紀風電,2026/03/26,上市,綠能環保
2101,南港,1963/11/01,上市,橡膠工業
2102,泰豐,1979/07/16,上市,橡膠工業
2103,台橡,1982/09/25,上市,橡膠工業
2104,國際中橡,1986/07/15,上市,橡膠工業
2105,正新,1987/12/07,上市,橡膠工業
2106,建大,1990/12/20,上市,橡膠工業
2107,厚生,1992/03/03,上市,橡膠工業
2108,南帝,1992/10/27,上市,橡膠工業
2109,華豐,2000/05/08,上市,橡膠工業
2114,鑫永銓,2010/12/29,上市,橡膠工業
2115,六暉-KY,2013/12/25,上市,汽車工業
2201,裕隆,1976/07/08,上市,汽車工業
2204,中華,1991/03/12,上市,汽車工業
2206,三陽工業,1996/07/29,上市,汽車工業
2207,和泰車,1997/02/25,上市,汽車工業
2208,台船,2008/12/22,上市,航運業
2211,長榮鋼,2021/04/12,上市,鋼鐵工業
2227,裕日車,2004/12/21,上市,汽車工業
2228,劍麟,2013/11/25,上市,汽車工業
2231,為升,2010/11/19,上市,汽車工業
2233,宇隆,2019/09/17,上市,汽車工業
2236,百達-KY,2015/06/03,上市,汽車工業
2239,英利-KY,2016/01/27,上市,汽車工業
2241,艾姆勒,2020/08/26,上市,汽車工業
2243,宏旭-KY,2017/09/27,上市,汽車工業
2247,汎德永業,2020/10/12,上市,汽車工業
2248,華勝-KY,2025/03/13,上市,汽車工業
2250,IKKA-KY,2021/05/31,上市,汽車工業
2301,光寶科,1995/11/17,上市,電腦及週邊設備業
2302,麗正,1985/01/15,上市,半導體業
2303,聯電,1985/07/16,上市,半導體業
2305,全友,1988/10/21,上市,電腦及週邊設備業
2308,台達電,1988/12/19,上市,電子零組件業
2312,金寶,1989/11/07,上市,其他電子業
2313,華通,1990/07/24,上市,電子零組件業
2314,台揚,1990/08/08,上市,通信網路業
2316,楠梓電,1991/02/05,上市,電子零組件業
2317,鴻海,1991/06/18,上市,其他電子業
2321,東訊,1991/11/08,上市,通信網路業
2323,中環,1992/02/17,上市,光電業
2324,仁寶,1992/02/18,上市,電腦及週邊設備業
2327,國巨*,1993/10/22,上市,電子零組件業
2328,廣宇,1993/11/09,上市,電子零組件業
2329,華泰,1994/04/20,上市,半導體業
2330,台積電,1994/09/05,上市,半導體業
2331,精英,1994/09/21,上市,電腦及週邊設備業
2332,友訊,1994/10/17,上市,通信網路業
2337,旺宏,1995/03/15,上市,半導體業
2338,光罩,1995/04/17,上市,半導體業
2340,台亞,1995/05/02,上市,半導體業
2342,茂矽,1995/09/19,上市,半導體業
2344,華邦電,1995/10/18,上市,半導體業
2345,智邦,1995/11/15,上市,通信網路業
2347,聯強,1995/12/13,上市,電子通路業
2348,海悅,1996/01/05,上市,其他業
2349,錸德,1996/04/23,上市,光電業
2351,順德,1996/04/25,上市,半導體業
2352,佳世達,1996/07/22,上市,電腦及週邊設備業
2353,宏碁,1996/09/18,上市,電腦及週邊設備業
2354,鴻準,1996/10/08,上市,其他電子業
2355,敬鵬,1996/10/14,上市,電子零組件業
2356,英業達,1996/11/13,上市,電腦及週邊設備業
2357,華碩,1996/11/14,上市,電腦及週邊設備業
2359,所羅門,1996/12/19,上市,其他電子業
2360,致茂,1996/12/21,上市,其他電子業
2362,藍天,1997/04/02,上市,電腦及週邊設備業
2363,矽統,1997/08/01,上市,半導體業
