Id,Name,PublishDate,MarketId,IndustryId
006201,元大富櫃50,2011/01/27,上櫃,
00679B,元大美債20年,2017/01/17,上櫃,
00687B,國泰20年美債,2017/04/13,上櫃,
00687C,國泰20年美債+櫃U,2025/01/10,上櫃,
00694B,富邦美債1-3年,2017/06/08,上櫃,
00695B,富邦美債7-10年,2017/06/08,上櫃,
00696B,富邦美債20年,2017/06/08,上櫃,
00697B,元大美債7-10,2017/06/23,上櫃,
00719B,元大美債1-3,2018/02/01,上櫃,
00720B,元大投資級公司債,2018/02/01,上櫃,
00722B,群益投資級電信債,2017/12/15,上櫃,
00723B,群益投資級科技債,2017/12/15,上櫃,
00724B,群益投資級金融債,2017/12/15,上櫃,
00725B,國泰投資級公司債,2018/02/07,上櫃,
00726B,國泰新興投等債,2018/02/07,上櫃,
00727B,國泰優選非投等債,2018/02/07,上櫃,
00734B,台新JPM新興債,2018/05/24,上櫃,
00740B,富邦全球投等債,2018/06/08,上櫃,
00741B,富邦全球非投等債,2018/06/08,上櫃,
00746B,富邦A級公司債,2018/08/15,上櫃,
00749B,凱基新興債10+,2018/09/20,上櫃,
00750B,凱基科技債10+,2018/09/20,上櫃,
00751B,元大AAA至A公司債,2018/10/03,上櫃,
00754B,群益AAA-AA公司債,2018/10/22,上櫃,
00755B,群益投資級公用債,2018/10/22,上櫃,
00756B,群益投等新興公債,2018/10/22,上櫃,
00758B,復華能源債,2018/11/14,上櫃,
00759B,復華製藥債,2018/11/14,上櫃,
00760B,復華新興企業債,2018/11/14,上櫃,
00761B,國泰A級公司債,2018/11/30,上櫃,
00764B,群益25年美債,2018/12/24,上櫃,
00768B,復華20年美債,2019/01/28,上櫃,
00772B,中信高評級公司債,2019/01/29,上櫃,
00773B,中信優先金融債,2019/01/29,上櫃,
00777B,凱基AAA至A公司債,2019/02/14,上櫃,
00778B,凱基金融債20+,2019/02/14,上櫃,
00779B,凱基美債25+,2019/02/14,上櫃,
00780B,國泰A級金融債,2019/03/07,上櫃,
00781B,國泰A級科技債,2019/03/07,上櫃,
00782B,國泰A級公用債,2019/03/07,上櫃,
00785B,富邦金融投等債,2019/03/27,上櫃,
00786B,元大10年IG銀行債,2019/04/02,上櫃,
00787B,元大10年IG醫療債,2019/04/02,上櫃,
00788B,元大10年IG電能債,2019/04/02,上櫃,
00789B,復華公司債A3,2019/03/20,上櫃,
00791B,復華信用債1-5,2019/03/20,上櫃,
00792B,群益A級公司債,2019/04/03,上櫃,
00793B,群益AAA-A醫療債,2019/04/03,上櫃,
00795B,中信美國公債20年,2019/04/11,上櫃,
00799B,國泰A級醫療債,2019/05/03,上櫃,
00834B,第一金金融債10+,2019/05/09,上櫃,
00836B,永豐10年A公司債,2019/05/22,上櫃,
00838B,永豐7-10年中國債,2019/06/13,上櫃,
00840B,凱基IG精選15+,2019/06/10,上櫃,
00841B,凱基AAA-AA公司債,2019/06/10,上櫃,
00842B,台新美元銀行債,2019/06/14,上櫃,
00844B,新光15年IG金融債,2019/07/18,上櫃,
00845B,富邦新興投等債,2019/07/16,上櫃,
00846B,富邦歐洲銀行債,2019/07/16,上櫃,
00847B,中信美國市政債,2019/07/30,上櫃,
00848B,中信新興亞洲債,2019/07/30,上櫃,
00849B,中信EM主權債0-5,2019/07/30,上櫃,
00853B,統一美債10年Aa-A,2019/09/04,上櫃,
00856B,永豐1-3年美公債,2019/09/30,上櫃,
00857B,永豐20年美公債,2019/09/30,上櫃,
00858,永豐美國500大,2019/09/30,上櫃,
00859B,群益0-1年美債,2019/10/18,上櫃,
00860B,群益1-5Y投資級債,2019/10/18,上櫃,
00862B,中信投資級公司債,2019/10/18,上櫃,
00863B,中信全球電信債,2019/10/18,上櫃,
00864B,中信美國公債0-1,2019/10/18,上櫃,
00867B,新光A-BBB電信債,2019/11/15,上櫃,
00870B,元大15年EM主權債,2020/01/09,上櫃,
00877,復華中國5G,2020/07/22,上櫃,
00884B,中信低碳新興債,2021/02/04,上櫃,
00886,永豐美國科技,2021/03/31,上櫃,
00887,永豐中國科技50大,2021/03/31,上櫃,
00888,永豐台灣ESG,2021/03/31,上櫃,
00890B,凱基ESGBBB債15+,2021/05/10,上櫃,
00928,中信上櫃ESG30,2023/05/24,上櫃,
00931B,統一美債20年,2023/08/07,上櫃,
00933B,國泰10Y+金融債,2023/10/19,上櫃,
00937B,群益ESG投等債20+,2023/12/05,上櫃,
00942B,台新美A公司債20+,2024/04/18,上櫃,
00948B,中信優息投資級債,2024/06/12,上櫃,
00950B,凱基A級公司債,2024/07/09,上櫃,
00955,中信日本商社,2024/08/20,上櫃,
00957B,兆豐US優選投等債,2024/09/10,上櫃,
00958B,永豐ESG銀行債15+,2024/09/18,上櫃,
00959B,大華投等美債15Y+,2024/08/28,上櫃,
00966B,統一ESG投等債15+,2024/12/16,上櫃,
00967B,元大優息美債,2024/12/09,上櫃,
00968B,元大優息投等債,2024/12/09,上櫃,
00969B,元大零息超長美債,2024/12/09,上櫃,
00970B,新光BBB投等債20+,2024/12/17,上櫃,
009806,台新標普500,2025/05/28,上櫃,
009807,台新標普科技精選,2025/05/28,上櫃,
00980B,台新特選IG債10+,2025/01/22,上櫃,
00980D,主動聯博投等入息,2025/08/04,上櫃,
00980T,平衡凱基美國TOP,2025/08/15,上櫃,
009814,富邦標普500,2025/12/19,上櫃,
009815,大華美國MAG7+,2026/01/26,上櫃,
00981B,第一金優選非投債,2025/03/10,上櫃,
00981D,主動中信非投等債,2025/09/16,上櫃,
009822,華南永昌未來金融,2026/06/03,上櫃,
00982B,FT投資級債20+,2025/04/28,上櫃,
00983B,大華優利美公債20,2025/05/13,上櫃,
00984B,大華優利美A債15,2025/05/13,上櫃,
00985D,主動貝萊德優投等,2026/03/30,上櫃,
00986B,FT金融債10+,2025/11/12,上櫃,
00986D,主動復華金融債息,2026/04/15,上櫃,
00987B,野村10+澳洲公債,2026/01/22,上櫃,
00988B,玉山嚴選非投債,2026/03/25,上櫃,
00989B,台新美國非投等債,2026/03/31,上櫃,
00998A,主動復華金融股息,2026/04/15,上櫃,
1240,茂生農經,2018/08/08,上櫃,農業科技業
1259,安心,2011/12/15,上櫃,觀光餐旅
1264,德麥,2015/04/09,上櫃,食品工業
1268,漢來美食,2017/09/27,上櫃,觀光餐旅
1294,漢田生技,2024/09/26,上櫃,食品工業
1295,生合,2025/05/27,上櫃,食品工業
1336,台翰,2007/11/02,上櫃,電子零組件業
1565,精華,2004/03/30,上櫃,生技醫療業
1569,濱川,2005/07/29,上櫃,電腦及週邊設備業
1570,力肯,2005/06/30,上櫃,電機機械
1580,新麥,2007/12/10,上櫃,電機機械
1584,精剛,2007/11/28,上櫃,其他業
1586,和勤,2012/01/09,上櫃,電機機械
1591,駿吉-KY,2012/03/23,上櫃,電機機械
1593,祺驊,2012/06/13,上櫃,運動休閒
1595,川寶,2011/10/04,上櫃,半導體業
1599,宏佳騰,2012/12/25,上櫃,電機機械
1742,台蠟,2004/05/14,上櫃,化學工業
1777,生泰,2005/10/19,上櫃,生技醫療業
1781,合世,2004/12/24,上櫃,生技醫療業
1784,訊聯,2007/07/26,上櫃,生技醫療業
1785,光洋科,2005/01/31,上櫃,其他電子業
1788,杏昌,2009/07/20,上櫃,生技醫療業
1796,金穎生技,2018/01/22,上櫃,食品工業
1799,易威,2008/11/10,上櫃,生技醫療業
1813,寶利徠,2009/08/04,上櫃,生技醫療業
1815,富喬,2006/01/23,上櫃,電子零組件業
2035,唐榮,2006/07/07,上櫃,鋼鐵工業
